1.052594	3.132918	1    MP1
3.199223	5.113784	1    MP1
5.445310	6.357005	1    MP1
6.962040	8.196973	1    MP1
8.337871	13.269316	1    MP1
13.841198	16.128725	1    MP1
16.335929	17.438252	1    MP1
18.416253	19.477135	2    MP2
20.496576	22.079611	1    MP1
22.535459	29.472635	1    MP1
30.102533	31.213144	1    MP1
31.304314	31.461789	1    MP1
31.826467	33.003383	1    MP1
33.243739	34.022825	1    MP1
34.561554	37.213760	1    MP1
38.142032	38.548151	2    MP2
39.492999	40.553881	1    MP1
42.468442	43.579053	2    MP2
43.993460	44.689664	2    MP2
45.128936	45.866580	2    MP2
46.090360	50.292448	2    MP2
50.789737	53.226451	2    MP2
53.301044	54.552554	2    MP2
55.414520	56.185318	1    MP1
56.375945	56.782064	1    MP1
57.063861	57.818082	1    MP1
58.066726	58.688337	1    MP1
59.558592	62.459442	2    MP2
62.799255	64.282833	2    MP2
64.564630	67.399174	2    MP2
68.120243	69.081667	2    MP2
69.645261	70.888482	2    MP2
71.244873	72.562687	2    MP2
72.852772	73.316908	2    MP2
74.286621	74.717604	1    MP1
78.380963	79.160049	2    MP2
79.433557	80.204355	2    MP2
80.320389	81.107762	2    MP2
81.182355	81.712796	2    MP2
81.828830	82.898001	2    MP2
83.403577	85.044630	2    MP2
85.185528	85.682817	2    MP2
86.975767	87.895751	1    MP1
89.429057	90.556244	2    MP2
90.929211	91.550822	2    MP2
91.782890	92.280178	2    MP2
93.208450	94.086993	1    MP1
94.534553	95.015265	1    MP1
95.214180	97.642606	1    MP1
98.222776	102.027034	1    MP1
102.499458	106.825868	1    MP1
106.983343	108.417191	1    MP1
109.022226	110.298600	1    MP1
110.671566	111.351194	1    MP1
112.909365	113.845925	2    MP2
113.928806	114.492400	2    MP2
114.566993	115.089146	2    MP2
115.279773	116.299215	2    MP2
